date,open,high,low,close,volume,funding_rate
2020-10-16,44.55,45.04,37.51,39.39,282456.7,-0.00236122
2020-10-17,39.415,43.329,38.46,41.393,385497.7,0.0003
2020-10-18,41.379,41.4,39.455,40.795,370900.1,0.0003
2020-10-19,40.746,41.009,35.828,36.075,398700.9,0.0003
2020-10-20,36.083,36.474,31.889,32.135,640193.9,0.0003
2020-10-21,32.095,37.099,31.716,35.107,542288.7,0.0003
2020-10-22,35.087,39.748,33.509,37.948,614126.9,0.0003
2020-10-23,37.892,42.698,37.043,41.428,797946.0,-0.0013275
2020-10-24,41.441,42.389,38.618,39.397,617193.9,-0.00116319
2020-10-25,39.42,40.953,37.243,37.866,592037.6,0.0003
2020-10-26,37.859,39.212,35.018,35.958,524933.2,0.0003
2020-10-27,35.96,39.0,34.356,34.933,603617.2,0.0003
2020-10-28,34.924,35.811,31.963,32.43,568749.4,0.00062733
2020-10-29,32.451,33.263,28.101,29.236,686524.2,0.00047867
2020-10-30,29.222,31.99,27.73,31.055,809945.4,0.0003
2020-10-31,31.06,32.9,29.524,29.696,584511.2,5.068000000000002e-05
2020-11-01,29.691,30.99,28.47,30.727,440488.4,0.0003
2020-11-02,30.732,34.175,29.117,29.672,1107448.8,0.0003
2020-11-03,29.672,30.085,27.323,28.105,634308.2,0.0003
2020-11-04,28.11,28.504,25.97,27.689,627055.8,0.00011893
2020-11-05,27.694,32.275,25.887,30.895,814585.5,-0.0008008
2020-11-06,30.875,40.95,30.746,38.546,1813531.6,-0.0025663
2020-11-07,38.554,52.18,38.327,44.476,2263347.2,0.00025106
2020-11-08,44.435,54.794,42.511,53.852,2223200.6,-0.00214628
2020-11-09,53.86,59.08,49.303,55.204,2787646.4,-0.00182772
2020-11-10,55.237,71.0,52.88,66.989,2987176.4,-0.0033177099999999
2020-11-11,66.942,69.1,53.458,54.523,2794269.3,2.681e-05
2020-11-12,54.598,59.95,50.5,51.854,2076670.8,0.00089125
2020-11-13,51.936,66.333,51.176,63.551,2553132.5,-0.0006288899999999
2020-11-14,63.536,68.98,57.818,66.796,1702080.7,0.0003
2020-11-15,66.849,71.25,59.35,64.244,1659104.6,0.0003
2020-11-16,64.262,74.637,60.9,73.052,1697466.0,0.00045503
2020-11-17,73.045,80.32,68.75,79.463,1326453.1,0.00047783
2020-11-18,79.493,80.562,67.2,75.395,1381302.9,0.00102044
2020-11-19,75.398,81.739,70.32,76.429,1277425.2,0.00050363
