date,open,high,low,close,volume,funding_rate
2020-06-16,0.2525,0.289,0.2286,0.2355,18727197.1,0.0003
2020-06-17,0.2353,0.2473,0.2301,0.2446,26630853.6,0.00031824
2020-06-18,0.2446,0.2514,0.2378,0.2406,61713908.0,0.00190404
2020-06-19,0.2405,0.2405,0.2313,0.2321,53412828.2,0.0003
2020-06-20,0.2321,0.2351,0.2265,0.2312,33250099.0,0.00057524
2020-06-21,0.2312,0.2405,0.2312,0.2325,38937815.8,0.0003
2020-06-22,0.2325,0.2416,0.2324,0.2414,49057922.1,0.0003
2020-06-23,0.2414,0.2515,0.2357,0.2498,111031891.3,0.00121831
2020-06-24,0.2497,0.2571,0.2312,0.2387,389331738.0,0.00058326
2020-06-25,0.2387,0.2398,0.2245,0.2353,22490797.0,0.0003
2020-06-26,0.2353,0.2353,0.221,0.2234,17346450.1,0.0003
2020-06-27,0.2234,0.2235,0.1948,0.2052,22725094.7,0.0003
2020-06-28,0.2052,0.2125,0.1982,0.2077,12535123.4,0.0003
2020-06-29,0.2077,0.2152,0.2063,0.2135,13455775.9,0.0003
2020-06-30,0.2132,0.2141,0.2068,0.2083,5947841.6,4.280000000000007e-06
2020-07-01,0.2082,0.2178,0.2073,0.2139,10467348.4,0.0003
2020-07-02,0.2137,0.2184,0.2005,0.205,13607495.4,4.5740000000000006e-05
2020-07-03,0.2049,0.2081,0.2021,0.2038,8869347.8,0.0003
2020-07-04,0.2038,0.218,0.2031,0.2178,15172748.4,0.0003
2020-07-05,0.2178,0.2195,0.209,0.2154,15765869.0,0.00035612
2020-07-06,0.2154,0.2319,0.2153,0.2293,30841709.1,0.0014422799999999
2020-07-07,0.2295,0.237,0.2235,0.2333,27746292.7,0.00115925
2020-07-08,0.2333,0.2533,0.229,0.2474,43526297.8,0.0011246
2020-07-09,0.2474,0.2555,0.2326,0.2418,51721542.5,0.00121846
2020-07-10,0.2418,0.2536,0.2275,0.2501,36243710.5,0.0003
2020-07-11,0.2501,0.2935,0.2486,0.2795,138958075.3,0.0003
2020-07-12,0.2795,0.2867,0.2605,0.2797,46893879.0,0.0010339
2020-07-13,0.2797,0.2916,0.259,0.2655,62775742.5,0.00280205
2020-07-14,0.2655,0.2777,0.2496,0.2724,45097340.2,0.00052846
2020-07-15,0.2723,0.2923,0.2609,0.2881,65266490.0,0.0003
2020-07-16,0.2881,0.3597,0.2642,0.3533,267825308.9,0.0003
2020-07-17,0.3531,0.3844,0.3321,0.3461,175495944.5,-0.00232233
2020-07-18,0.3461,0.3641,0.332,0.3559,69321147.7,0.0003
2020-07-19,0.356,0.3988,0.3397,0.3871,81356399.0,0.0003
2020-07-20,0.3871,0.3923,0.3421,0.3569,130636025.2,-0.0011498799999999
2020-07-21,0.3564,0.3703,0.3359,0.3472,75591455.8,0.0009197
2020-07-22,0.3469,0.3595,0.3432,0.3475,43116032.3,0.00110149
2020-07-23,0.3477,0.35,0.323,0.3295,50343172.4,0.0016911399999999
2020-07-24,0.3295,0.3317,0.3102,0.3129,45524172.7,0.0026871
2020-07-25,0.3129,0.3374,0.311,0.3199,47493441.2,0.00114925
2020-07-26,0.32,0.3333,0.3047,0.3212,50565977.5,0.00421356
2020-07-27,0.3215,0.325,0.2677,0.288,99079171.0,0.00141983
2020-07-28,0.2881,0.3173,0.2777,0.3149,73500655.0,0.00094233
2020-07-29,0.3149,0.3287,0.3068,0.3085,56395131.8,0.00157549
2020-07-30,0.3085,0.3471,0.3037,0.335,96009005.2,0.00196428
2020-07-31,0.3347,0.349,0.3175,0.3273,39115128.8,0.00150626
2020-08-01,0.3276,0.3374,0.3224,0.3285,41346696.8,0.00298013
2020-08-02,0.3285,0.3384,0.245,0.3021,67607219.1,0.00282065
2020-08-03,0.3022,0.3237,0.2983,0.31,36050905.3,0.0004392499999999
2020-08-04,0.31,0.3328,0.31,0.3273,37492410.8,0.00136001
2020-08-05,0.3273,0.3475,0.322,0.3355,76022426.1,0.00242994
2020-08-06,0.3354,0.375,0.3342,0.3649,98050777.7,0.0032543299999999
2020-08-07,0.3649,0.3812,0.3365,0.3702,80170518.7,0.00291087
2020-08-08,0.3701,0.4629,0.3684,0.4534,142043120.5,0.00082325
2020-08-09,0.4535,0.4722,0.4101,0.4254,114659624.8,0.00197117
2020-08-10,0.4254,0.4897,0.4055,0.4707,131767775.0,0.00412274
2020-08-11,0.4707,0.4903,0.3931,0.4375,130100729.0,0.00297917
2020-08-12,0.4373,0.5446,0.4066,0.5242,148192509.9,0.00105107
2020-08-13,0.5242,0.6983,0.4977,0.6718,275647117.9,0.00211301
2020-08-14,0.672,0.7647,0.6212,0.6411,178256041.3,0.00190657
2020-08-15,0.6395,0.7111,0.6,0.6376,110968231.2,0.00371569
2020-08-16,0.6376,0.669,0.6176,0.631,90293227.3,0.0053764799999999
2020-08-17,0.631,0.695,0.5819,0.5885,100497610.9,0.00476608
2020-08-18,0.5886,0.6088,0.5065,0.5575,114041946.3,0.00392247
2020-08-19,0.5575,0.6285,0.5,0.5977,160198171.2,0.00088607
2020-08-20,0.5979,0.6679,0.5928,0.6274,104889635.8,0.00030965
2020-08-21,0.6278,0.6369,0.5241,0.5329,111848114.7,0.0010726499999999
2020-08-22,0.5325,0.587,0.511,0.5651,91000857.6,0.00035794
2020-08-23,0.5642,0.639,0.5439,0.6165,85775153.8,0.00051863
2020-08-24,0.6166,0.6656,0.5935,0.6306,95823648.5,0.00247566
2020-08-25,0.63,0.6409,0.5285,0.5616,98977230.7,0.00243172
2020-08-26,0.5616,0.59,0.5298,0.5507,63081968.5,0.00041857
2020-08-27,0.5509,0.5599,0.4909,0.5228,67724423.5,0.00105848
2020-08-28,0.5231,0.5634,0.513,0.5349,48174324.8,0.0003
2020-08-29,0.5351,0.5499,0.5244,0.5353,31981278.2,0.00190521
2020-08-30,0.535,0.5525,0.5105,0.5187,41845911.4,0.00432852
2020-08-31,0.519,0.5283,0.5024,0.5024,32234218.8,0.0028085
2020-09-01,0.5024,0.5544,0.491,0.5175,72131369.1,0.00265013
2020-09-02,0.5178,0.5285,0.411,0.464,88494138.4,0.00303864
2020-09-03,0.4644,0.472,0.3252,0.3482,98871787.3,0.0003
2020-09-04,0.3476,0.3873,0.3317,0.374,88533087.9,0.0003
2020-09-05,0.374,0.4,0.315,0.342,67536353.9,0.0003
2020-09-06,0.3416,0.387,0.3181,0.3752,49494032.8,0.0003
2020-09-07,0.3753,0.3848,0.3284,0.3725,56086731.5,0.0003
2020-09-08,0.3726,0.3766,0.3359,0.3487,38370850.6,0.0003
2020-09-09,0.3485,0.4329,0.337,0.4131,74565268.6,0.0003
2020-09-10,0.4131,0.45,0.4008,0.4137,79001868.1,0.0003
2020-09-11,0.413,0.4151,0.39,0.411,44156629.0,0.0003
2020-09-12,0.4108,0.4185,0.3972,0.4085,39372102.3,0.0003
2020-09-13,0.409,0.4165,0.3561,0.3773,41394582.1,0.0003
2020-09-14,0.3775,0.3903,0.364,0.3817,23352835.8,0.0003
2020-09-15,0.3822,0.3888,0.3512,0.354,33100590.5,0.0003
2020-09-16,0.354,0.3629,0.3363,0.3591,28437072.4,0.0003
2020-09-17,0.3593,0.3763,0.3455,0.3564,38499123.1,0.0003
2020-09-18,0.3565,0.3634,0.3281,0.3366,37829160.9,0.0003
2020-09-19,0.3366,0.3459,0.3259,0.3421,21608282.3,0.0003
2020-09-20,0.3419,0.3592,0.3111,0.3276,43270083.1,0.0003
2020-09-21,0.3275,0.3303,0.2739,0.2873,87421012.8,0.0003
2020-09-22,0.2874,0.3132,0.2763,0.3059,52267183.2,0.0003
2020-09-23,0.3062,0.3098,0.2624,0.2689,55790723.5,0.0003
2020-09-24,0.2692,0.3019,0.2633,0.2938,38856210.9,0.0003
2020-09-25,0.2938,0.3276,0.2873,0.3172,52618441.4,0.0003
2020-09-26,0.3175,0.342,0.3135,0.3254,48187320.4,0.0003
2020-09-27,0.3251,0.3276,0.3026,0.3205,30696538.5,0.0003
2020-09-28,0.3203,0.3503,0.3191,0.3271,47756826.0,0.0003
2020-09-29,0.3274,0.344,0.3182,0.3394,51365815.5,0.0003
2020-09-30,0.3395,0.3559,0.32,0.3468,52598465.8,0.0003
2020-10-01,0.347,0.373,0.3245,0.3348,66126767.0,0.0003
2020-10-02,0.3347,0.3402,0.2911,0.3155,61284604.2,0.0003
2020-10-03,0.3158,0.3293,0.3123,0.315,24244840.4,0.0003
2020-10-04,0.315,0.3202,0.3059,0.3121,19519287.3,0.0003
2020-10-05,0.3124,0.3224,0.3074,0.3182,19231203.3,0.0003
2020-10-06,0.3181,0.3212,0.2815,0.2859,35585419.1,0.0003
2020-10-07,0.2863,0.3108,0.2765,0.3065,45735962.7,0.0003
2020-10-08,0.3062,0.315,0.288,0.3085,43412434.2,0.0003
2020-10-09,0.3084,0.3325,0.3003,0.3286,34913325.0,0.0003
2020-10-10,0.3287,0.3399,0.3202,0.3267,34533033.8,0.0003
2020-10-11,0.3264,0.3386,0.3164,0.3321,36783816.3,0.0003
2020-10-12,0.3321,0.3633,0.3285,0.3445,84708586.3,0.0003
2020-10-13,0.3444,0.3567,0.3317,0.3427,36444961.7,0.0003
2020-10-14,0.343,0.348,0.32,0.3277,40467538.0,0.0003
