date,open,high,low,close,volume,funding_rate
2022-10-19,7.999,8.595,6.564,7.3,347173539.7,-0.0094003
2022-10-20,7.301,7.74,6.9,7.357,147099164.9,-0.0015636399999999
2022-10-21,7.357,7.68,6.981,7.49,123913199.5,-0.00139587
2022-10-22,7.49,9.28,7.333,8.937,229428158.0,-0.0016070199999999
2022-10-23,8.937,10.2,8.851,9.754,388443586.1,-0.0118348799999999
2022-10-24,9.754,9.962,9.224,9.52,224086175.3,-0.0029829
2022-10-25,9.52,9.555,8.512,8.775,204121343.8,-0.00120557
2022-10-26,8.775,9.28,8.601,9.191,156974817.0,-0.00101306
2022-10-27,9.191,9.63,8.58,8.698,134977354.5,-0.00068372
2022-10-28,8.698,8.826,7.922,8.173,132186233.2,-0.0004309799999999
2022-10-29,8.174,8.367,7.586,7.952,97029881.2,-7.669e-05
2022-10-30,7.95,8.384,7.588,7.796,73307527.3,0.0003
2022-10-31,7.796,8.219,7.656,7.927,66278031.9,0.0003
2022-11-01,7.928,8.318,7.81,8.188,72946418.8,0.0003
2022-11-02,8.191,8.206,7.087,7.37,81809434.7,7.732e-05
2022-11-03,7.37,7.559,7.161,7.227,39734281.4,-2.529999999999998e-06
2022-11-04,7.227,7.785,7.154,7.65,44140453.6,0.00021609
2022-11-05,7.651,7.999,7.512,7.62,47260279.4,0.0003
2022-11-06,7.621,8.228,7.216,7.304,96953189.1,0.00021761
2022-11-07,7.303,7.459,6.79,6.998,62905652.7,2.674e-05
2022-11-08,6.998,7.02,4.462,5.368,125177189.5,-0.0001404
2022-11-09,5.368,5.383,3.437,3.9441,123170924.4,-0.00144517
2022-11-10,3.9448,5.483,3.8359,5.1515,100259381.5,-0.00936683
2022-11-11,5.151,5.3449,4.463,5.18,59087551.6,-0.00102316
2022-11-12,5.1793,5.1829,4.4254,4.543,32735158.6,8.749e-05
2022-11-13,4.5426,4.615,4.1107,4.2162,36186656.8,6.157e-05
2022-11-14,4.2164,4.5105,3.752,4.1905,48518191.6,-0.000139
2022-11-15,4.19,4.714,4.1072,4.3344,44740285.3,-4.562e-05
2022-11-16,4.3344,4.9666,4.151,4.4966,92938739.1,-0.0003178099999999
2022-11-17,4.4971,4.85,4.3503,4.6575,90241437.1,-0.00018302
2022-11-18,4.6579,4.9269,4.5114,4.716,53395487.1,-0.00059779
2022-11-19,4.7159,4.7699,4.5,4.6212,24752078.8,-9.094e-05
2022-11-20,4.6189,4.634,4.0267,4.0982,27528922.1,-8.766999999999999e-05
2022-11-21,4.0983,4.1475,3.8557,4.0603,36100488.8,-0.00090256
2022-11-22,4.0612,4.521,3.8509,4.3146,38263673.7,-0.00032893
2022-11-23,4.3149,4.597,4.239,4.438,29788386.8,-0.0001398999999999
2022-11-24,4.438,4.7313,4.2221,4.4358,39926594.0,-0.00020361
2022-11-25,4.4355,4.5525,4.2517,4.4247,27920332.2,-6.758e-05
2022-11-26,4.4246,5.037,4.4036,4.7656,68705267.9,0.0002891
2022-11-27,4.7643,5.0277,4.6041,4.7916,36960327.6,-0.0002895
2022-11-28,4.7906,4.7918,4.2939,4.4746,32149916.1,-0.00083822
2022-11-29,4.4735,4.799,4.4101,4.6698,27265331.6,-0.0003969
2022-11-30,4.6693,4.8798,4.535,4.7675,25020703.6,-0.00019549
2022-12-01,4.7675,4.7883,4.572,4.65,16241139.2,-0.0006099899999999
2022-12-02,4.6512,5.0608,4.5038,4.8975,33701145.6,-0.00021556
2022-12-03,4.8976,5.2413,4.8715,5.1106,92549196.0,-0.0004218699999999
2022-12-04,5.1109,5.37,5.0505,5.1789,63522210.0,-0.00224299
2022-12-05,5.1789,5.4279,5.0,5.1577,49667507.4,-0.00034616
2022-12-06,5.1577,5.4199,4.8463,5.0422,35919926.6,1.5099999999999998e-05
2022-12-07,5.0417,5.0523,4.58,4.8146,29158584.3,-0.00085979
2022-12-08,4.8145,4.9402,4.6813,4.9137,24805113.6,-0.00039664
2022-12-09,4.9136,4.9478,4.7264,4.804,15753537.4,-0.00028946
2022-12-10,4.8039,4.838,4.7534,4.7792,8718873.8,-0.00011896
2022-12-11,4.7794,4.9,4.608,4.66,14917400.8,-9.773e-05
2022-12-12,4.6599,4.7095,4.3,4.523,20566719.7,-0.0003377999999999
2022-12-13,4.5235,4.6675,4.2711,4.6217,24165463.5,-0.00026167
2022-12-14,4.6207,4.7539,4.4688,4.696,21632914.2,0.00029363
2022-12-15,4.6963,4.7931,4.502,4.6641,31486869.1,6.318e-05
2022-12-16,4.6634,4.7414,3.9603,4.0409,29279140.8,-0.00033422
2022-12-17,4.0407,4.1466,3.9501,4.0854,20127618.8,-0.00111326
2022-12-18,4.0855,4.1025,3.9676,4.0483,11914321.4,-0.00147619
2022-12-19,4.0482,4.1394,3.6611,3.8027,30354171.4,-0.00082307
2022-12-20,3.8029,3.9292,3.7815,3.8921,22229072.4,-0.00176489
2022-12-21,3.8924,3.9039,3.674,3.7614,20020642.9,-0.00104115
2022-12-22,3.7614,3.7836,3.562,3.7066,21752387.9,-0.00086794
2022-12-23,3.7066,3.8096,3.6869,3.747,17509523.0,-5.851e-05
2022-12-24,3.7461,3.7783,3.6615,3.6916,10748170.1,-0.00015417
2022-12-25,3.6923,3.7186,3.5211,3.5756,19413712.4,-0.00023437
2022-12-26,3.5755,3.6495,3.552,3.6439,15890050.2,-0.00031062
2022-12-27,3.6433,3.67,3.5211,3.5953,17460357.6,-0.00012761
2022-12-28,3.5952,3.6095,3.13,3.2296,44225911.1,-0.00094964
2022-12-29,3.2296,3.2545,3.06,3.2054,33310509.4,-0.00108559
2022-12-30,3.2057,3.5,3.1113,3.4143,50880940.8,-0.0012871699999999
2022-12-31,3.4135,3.538,3.3205,3.4466,58357511.2,-0.00069453
2023-01-01,3.4471,3.5497,3.4051,3.5185,34086670.5,-0.00053079
2023-01-02,3.5185,3.9,3.44,3.7563,52706346.6,-0.00046358
2023-01-03,3.7557,3.922,3.65,3.8178,50074074.6,-0.00021871
2023-01-04,3.8177,4.0284,3.6991,3.8093,47575968.5,-0.00015697
2023-01-05,3.8092,3.8497,3.6423,3.7079,29334513.9,-0.00022234
2023-01-06,3.7075,3.91,3.584,3.8574,35085138.6,-0.00024058
2023-01-07,3.8575,3.8993,3.781,3.8327,14371184.4,0.00027733
2023-01-08,3.834,3.9677,3.7312,3.9317,23698276.1,0.0003
2023-01-09,3.9307,5.722,3.8917,5.2094,186988054.3,0.0003
2023-01-10,5.2086,5.95,4.9356,5.4835,316508922.3,-0.00028708
2023-01-11,5.4851,5.5293,5.0036,5.2925,152160376.9,0.00027155
2023-01-12,5.2935,6.5938,5.0249,6.4495,223214952.5,0.0003
2023-01-13,6.4502,7.2,6.1962,6.8109,279538726.1,-0.00076778
2023-01-14,6.8109,8.3,6.7592,7.7155,243106050.7,-3.906999999999999e-05
2023-01-15,7.7155,8.88,7.0354,7.9277,239641910.7,0.00094884
2023-01-16,7.9266,8.6514,7.53,8.1324,204219813.3,0.0003
2023-01-17,8.1337,8.3146,7.55,7.6113,110585388.0,0.0003
2023-01-18,7.6115,8.5,7.01,7.6262,187559906.8,0.0003
2023-01-19,7.6217,8.1075,7.5266,7.8696,127177275.2,0.0003
2023-01-20,7.8693,11.5,7.7518,10.9529,276699135.3,0.00017437
2023-01-21,10.9529,13.4782,10.5023,11.76,333840321.5,5.8330000000000006e-05
2023-01-22,11.7594,14.5891,11.7301,13.3001,264954734.9,0.00034005
2023-01-23,13.3,14.445,12.6101,12.677,154557907.0,-0.00061926
2023-01-24,12.6771,13.5778,11.76,12.3168,122624388.8,0.00041634
2023-01-25,12.3159,19.0,12.2203,18.3093,340243618.0,-0.00208973
2023-01-26,18.3119,20.44,17.131,18.1472,266701841.0,-0.00327725
2023-01-27,18.1476,18.79,17.1408,17.7571,129472825.8,-0.00123653
2023-01-28,17.757,19.0,16.56,17.8006,145213441.9,-0.00252766
2023-01-29,17.8,19.0,17.36,18.3404,105399546.8,-6.453000000000001e-05
2023-01-30,18.3406,20.39,16.1677,17.1905,193442655.1,-0.00030377
2023-01-31,17.1906,17.4224,16.106,16.7285,113345848.1,-0.0004492
2023-02-01,16.7286,18.42,15.5798,18.2499,132499829.1,-0.00011173
2023-02-02,18.25,18.7,16.8393,17.2179,97957250.9,0.00027977
2023-02-03,17.2178,17.4749,16.5088,17.0203,71785981.4,-0.0003045
2023-02-04,17.0203,17.0796,16.2661,16.4884,39175602.0,0.0003
2023-02-05,16.4885,17.1,14.605,15.4306,78583539.0,0.0003
2023-02-06,15.4316,15.9777,14.3331,14.955,87160392.4,0.00056437
2023-02-07,14.955,16.24,14.943,16.0568,90343003.2,0.0003
2023-02-08,16.0568,16.3617,14.7096,15.0865,64066299.3,0.00038315
2023-02-09,15.0866,15.1814,12.63,13.3185,96911558.9,0.0003
2023-02-10,13.3186,13.756,12.582,13.653,93094469.9,0.0003
2023-02-11,13.653,14.588,13.23,13.878,77683320.8,-0.0011923099999999
2023-02-12,13.877,14.18,12.914,13.097,49411838.0,4.797e-05
2023-02-13,13.098,13.8,12.334,13.726,88876206.4,0.0002201099999999
2023-02-14,13.726,14.779,13.459,14.741,106686486.0,8.425e-05
2023-02-15,14.741,16.5,14.085,15.945,72435017.4,-0.00065253
2023-02-16,15.945,16.7,14.487,14.693,83573643.0,0.0003
2023-02-17,14.691,15.134,14.091,14.736,62477705.1,0.00019464
2023-02-18,14.735,14.987,14.127,14.428,29250301.4,-0.00024865
2023-02-19,14.428,14.825,13.63,14.077,44801572.6,0.00021074
2023-02-20,14.077,14.398,13.58,14.22,35756149.7,0.0003
2023-02-21,14.221,14.28,13.037,13.442,36361926.7,0.0003
2023-02-22,13.44,13.98,12.748,13.885,51262692.8,0.0003
2023-02-23,13.885,14.157,13.193,13.446,39655743.9,0.0003
2023-02-24,13.445,13.8,12.37,12.838,40727301.0,0.0003
2023-02-25,12.837,12.888,11.5,12.238,42804175.4,0.00020233
2023-02-26,12.238,12.935,12.115,12.634,32477994.7,2.6630000000000008e-05
2023-02-27,12.633,13.064,12.095,12.368,35704619.4,0.0003
2023-02-28,12.37,12.439,11.756,11.884,39595678.9,0.00016108
2023-03-01,11.885,13.496,11.815,13.443,70904060.8,-0.00034406
2023-03-02,13.443,13.721,12.541,12.841,53564190.9,-0.0001090899999999
2023-03-03,12.841,12.885,11.19,11.732,50119855.2,-0.0006946599999999
2023-03-04,11.732,11.836,10.61,11.257,41568826.6,-0.00012155
2023-03-05,11.257,11.536,11.016,11.153,38299847.1,-0.00079363
2023-03-06,11.152,11.506,10.945,11.281,33817764.9,-0.00024603
2023-03-07,11.282,11.723,10.662,11.121,43238806.6,-2.8620000000000007e-05
2023-03-08,11.12,11.2,10.205,10.512,44026387.9,9.358e-05
2023-03-09,10.511,11.467,10.406,11.111,97987702.0,-0.0001517899999999
2023-03-10,11.108,11.662,9.7,10.782,179002648.3,-0.00066742
2023-03-11,10.782,11.097,9.886,10.432,82597971.2,-0.0003549
2023-03-12,10.432,12.092,10.029,11.88,74857372.8,-0.00025776
2023-03-13,11.881,12.778,11.4,12.309,92973789.4,0.00028934
2023-03-14,12.309,14.644,11.967,13.579,107833009.5,0.0003
