date,open,high,low,close,volume,funding_rate
2020-02-07,4.574,4.95,4.573,4.822,965941.88,0.0076999999999999
2020-02-08,4.817,4.835,4.485,4.647,1234406.02,0.00202592
2020-02-09,4.642,4.81,4.626,4.76,985383.9,0.00576148
2020-02-10,4.76,4.81,4.547,4.782,1026402.54,0.00265718
2020-02-11,4.774,5.237,4.696,5.118,1946745.8,0.00156469
2020-02-12,5.119,5.346,5.05,5.117,1592273.17,0.00549481
2020-02-13,5.121,5.274,4.838,4.919,2061445.94,0.00577122
2020-02-14,4.917,5.17,4.866,5.128,1221732.7,0.0009646
2020-02-15,5.13,5.159,4.384,4.608,1869691.28,0.00459444
2020-02-16,4.605,4.778,4.0,4.384,2256837.69,0.00053814
2020-02-17,4.386,4.431,3.904,4.274,1904662.63,0.00033213
2020-02-18,4.277,4.505,3.968,4.441,1513693.03,0.0004381999999999
2020-02-19,4.441,4.704,4.044,4.148,1778122.27,0.00051301
2020-02-20,4.143,4.556,4.099,4.468,2241518.52,0.00058177
2020-02-21,4.464,4.989,4.412,4.962,4334831.35,0.0003
2020-02-22,4.96,5.097,4.657,5.027,4089454.98,0.00070017
2020-02-23,5.02,5.1,4.739,4.808,3010097.42,0.00070191
2020-02-24,4.808,4.94,4.201,4.399,4888439.01,0.0028487599999999
2020-02-25,4.397,4.42,3.993,4.051,3095092.65,0.00173774
2020-02-26,4.051,4.082,3.45,3.642,3821641.65,0.00087251
2020-02-27,3.643,3.862,3.348,3.697,4018400.46,0.00089639
2020-02-28,3.699,3.756,3.423,3.542,3971987.03,0.00128418
2020-02-29,3.541,3.69,3.437,3.449,1945540.88,0.00139806
2020-03-01,3.444,3.55,3.253,3.348,3230745.38,0.00288426
2020-03-02,3.344,3.774,3.331,3.71,2769487.79,0.0012841
2020-03-03,3.709,3.711,3.516,3.623,2749977.07,0.00109168
2020-03-04,3.625,3.898,3.623,3.746,3508114.08,0.00221054
2020-03-05,3.749,3.946,3.734,3.768,3435726.94,0.00069431
2020-03-06,3.766,3.885,3.705,3.862,2189424.78,0.00181911
2020-03-07,3.864,3.874,3.572,3.618,1450764.74,0.00133167
2020-03-08,3.619,3.619,3.05,3.086,3964459.9,0.00092113
2020-03-09,3.086,3.168,2.813,3.026,5368256.98,0.00164223
2020-03-10,3.026,3.203,2.881,3.06,3967772.99,0.0003
2020-03-11,3.059,3.107,2.705,2.997,4033649.01,0.0016605499999999
2020-03-12,2.997,3.028,1.476,1.599,9275162.7,-0.00017266
2020-03-13,1.6,4.417,1.057,1.805,8134516.81,-0.0022595799999999
2020-03-14,1.801,1.98,1.679,1.834,5764295.38,-0.00449388
2020-03-15,1.835,2.084,1.812,1.915,3926605.1,-0.00410124
2020-03-16,1.917,1.918,1.49,1.663,3817031.29,-0.00180072
2020-03-17,1.664,1.862,1.631,1.765,2421853.11,-0.00201263
2020-03-18,1.764,1.844,1.646,1.81,2061962.25,-0.00100665
2020-03-19,1.81,2.148,1.77,2.068,2743011.48,0.00054566
2020-03-20,2.07,2.484,1.811,2.161,5458078.54,0.00027426
