date,open,high,low,close,volume,funding_rate
2020-02-10,25.07,25.907,24.031,25.189,1405091.86,0.00304635
2020-02-11,25.19,25.864,24.25,25.705,1783061.99,0.00578436
2020-02-12,25.705,26.98,25.347,26.451,1311285.47,0.0067218
2020-02-13,26.452,27.397,24.58,25.456,1451755.42,0.00457475
2020-02-14,25.455,26.697,25.043,26.384,1271237.03,0.00128816
2020-02-15,26.373,26.6,23.25,24.239,1601280.92,0.00558511
2020-02-16,24.225,25.302,21.78,23.389,1775025.82,0.0
2020-02-17,23.355,23.623,21.519,23.452,2036473.78,0.00140896
2020-02-18,23.462,24.519,22.726,24.094,1293664.26,0.00024926
2020-02-19,24.107,24.392,21.391,22.367,1411342.31,0.00140107
2020-02-20,22.362,22.723,21.0,22.191,1244980.04,0.00139687
2020-02-21,22.172,22.933,21.815,22.209,972969.37,0.00066626
2020-02-22,22.221,22.374,21.51,22.008,736112.42,0.00167088
2020-02-23,22.007,22.997,21.977,22.868,1007250.63,0.0017732199999999
2020-02-24,22.871,23.288,21.512,22.11,1270055.15,0.00102634
2020-02-25,22.111,22.13,20.139,20.34,1444417.18,0.00074721
2020-02-26,20.345,20.547,17.87,18.729,2294044.51,0.00033832
2020-02-27,18.723,19.635,17.701,19.154,1684886.46,0.0
2020-02-28,19.15,19.755,17.92,19.001,1718113.47,0.0
2020-02-29,19.001,20.3,18.802,19.257,1734548.17,0.00028972
2020-03-01,19.25,19.913,18.5,18.9,2131016.51,0.00088843
2020-03-02,18.909,20.051,18.768,19.9,1782168.95,0.0
2020-03-03,19.901,20.382,19.33,19.685,1607025.05,-0.0002225
2020-03-04,19.684,20.273,19.54,19.969,1399024.21,-0.0006366
2020-03-05,19.969,21.472,19.965,20.754,1955491.71,0.00020227
2020-03-06,20.75,21.77,20.692,21.379,1659669.26,0.00098189
2020-03-07,21.379,21.5,19.778,20.269,1393981.18,0.0017541199999999
2020-03-08,20.27,20.27,16.715,16.897,2287497.85,0.00200597
2020-03-09,16.886,17.465,15.628,16.589,3446761.01,0.00076211
2020-03-10,16.603,17.45,16.289,16.85,2417921.41,0.0
2020-03-11,16.868,17.129,15.423,16.591,2157510.13,0.0
2020-03-12,16.591,16.628,8.873,9.277,8451829.08,-0.0004214
2020-03-13,9.23,11.708,6.236,10.958,11581062.71,-0.00725434
2020-03-14,10.952,11.3,9.875,10.135,2772315.36,0.00196605
2020-03-15,10.14,11.329,9.971,10.393,2073135.23,0.00081228
2020-03-16,10.388,10.404,8.38,9.422,4585965.54,-0.00025194
2020-03-17,9.432,10.531,9.326,10.241,2676624.01,6.145e-05
2020-03-18,10.237,10.425,9.658,10.392,2128780.82,0.0
2020-03-19,10.393,12.699,10.245,12.267,2968162.77,0.0
2020-03-20,12.263,13.697,10.307,11.911,3028060.57,3.196e-05
2020-03-21,11.912,12.439,11.272,12.101,2299755.97,0.0
2020-03-22,12.105,12.483,11.02,11.16,2451920.35,0.0
2020-03-23,11.159,12.52,10.765,12.172,2267239.39,0.0
2020-03-24,12.174,12.575,11.906,12.404,1739021.07,0.0
2020-03-25,12.4,12.708,11.96,12.304,1748919.99,-0.00209042
2020-03-26,12.307,13.267,12.1,13.202,1089249.85,-0.0023789199999999
2020-03-27,13.201,13.386,12.039,12.317,1496285.83,-0.00088447
2020-03-28,12.3,12.348,11.61,12.175,1325113.38,-0.00166027
2020-03-29,12.177,12.228,11.26,11.267,962357.57,-0.00198578
2020-03-30,11.273,12.424,11.225,12.123,1233496.79,-0.0014716199999999
2020-03-31,12.128,12.75,12.1,12.536,1326495.93,-0.00079252
2020-04-01,12.539,12.748,11.96,12.706,1409144.95,0.0
2020-04-02,12.706,13.755,12.5,13.008,1867018.75,-0.00092048
2020-04-03,13.015,13.578,12.912,13.359,1364218.69,-0.00099756
2020-04-04,13.361,14.051,13.136,13.781,2264887.58,0.0
2020-04-05,13.776,13.969,13.411,13.699,1172217.67,5.412e-05
2020-04-06,13.696,15.232,13.639,15.189,1945463.95,0.00032474
2020-04-07,15.189,15.512,14.25,14.725,2241051.33,0.00014939
2020-04-08,14.728,15.377,14.567,15.098,1491320.55,0.0
2020-04-09,15.102,15.218,14.611,15.013,1257983.36,0.0
2020-04-10,15.012,15.082,13.455,13.708,1903505.01,0.0
2020-04-11,13.708,14.09,13.519,13.804,1163328.91,-0.00012615
2020-04-12,13.812,14.846,13.639,14.287,1590489.3,0.0
2020-04-13,14.282,15.075,13.5,15.0,4021749.59,-0.00106444
2020-04-14,15.001,15.954,14.763,15.593,4569526.7,-0.00317331
2020-04-15,15.589,15.811,14.467,14.544,2880471.05,-0.00216217
2020-04-16,14.544,15.767,14.069,15.737,3098334.13,-0.00339126
2020-04-17,15.739,15.92,15.139,15.61,2188537.87,-0.00545048
2020-04-18,15.61,16.823,15.6,16.58,2281422.62,-0.00131362
2020-04-19,16.579,16.669,15.77,16.035,1830505.32,-0.00268627
2020-04-20,16.03,16.456,14.775,14.928,2594135.67,-0.00243545
2020-04-21,14.924,15.422,14.666,15.113,2440212.54,-0.00357796
2020-04-22,15.103,15.823,14.913,15.697,1604788.72,-0.00147669
2020-04-23,15.697,16.463,15.379,16.049,2065896.92,-0.0005323
2020-04-24,16.055,16.269,15.658,15.93,1552796.52,0.0
2020-04-25,15.923,16.449,15.74,16.233,1260384.21,0.0
2020-04-26,16.235,16.43,15.952,16.347,1213378.93,-9.795e-05
2020-04-27,16.348,16.567,16.043,16.414,1340597.08,0.0
2020-04-28,16.402,16.465,16.14,16.335,1016776.69,-0.00064392
2020-04-29,16.335,17.495,16.294,17.333,2061367.45,0.0
2020-04-30,17.327,18.137,16.32,16.928,3117440.2,-0.00272436
2020-05-01,16.916,17.856,16.909,17.44,1970326.21,-0.00197335
2020-05-02,17.439,17.568,17.248,17.52,952641.13,-0.00156104
2020-05-03,17.519,17.799,16.771,17.083,1213703.65,-0.00121372
2020-05-04,17.081,17.267,16.25,17.003,1525917.37,-0.00119549
2020-05-05,16.998,17.294,16.585,16.85,1147397.72,0.0
2020-05-06,16.852,17.139,16.35,16.391,1058713.8,-0.00136979
2020-05-07,16.388,17.242,16.024,16.997,1291777.28,-0.00021386
2020-05-08,16.999,17.4,16.817,17.145,1168733.8,0.0
2020-05-09,17.145,17.495,16.754,16.766,1096794.81,0.0
2020-05-10,16.763,16.795,13.63,15.309,2530265.21,-0.0013958199999999
2020-05-11,15.306,15.522,14.014,15.073,1827284.58,-0.00025328
2020-05-12,15.085,16.22,14.966,15.756,1966025.46,-0.00029358
2020-05-13,15.756,16.361,15.627,16.177,1107585.56,-0.0012460799999999
2020-05-14,16.182,16.693,15.976,16.361,1152546.06,-0.0010507
2020-05-15,16.368,16.451,15.542,15.71,1105577.41,0.0
2020-05-16,15.707,16.228,15.577,16.059,738007.81,0.0
2020-05-17,16.06,16.522,16.004,16.293,704263.0,0.0
2020-05-18,16.294,16.872,16.235,16.638,791209.22,0.0
2020-05-19,16.64,17.25,16.302,17.215,1083398.38,0.0
2020-05-20,17.211,17.348,16.45,16.887,1036929.85,0.0
2020-05-21,16.891,17.064,15.732,16.097,1410902.92,0.0
2020-05-22,16.092,16.924,15.935,16.606,1110318.45,2.744e-05
2020-05-23,16.606,16.866,16.345,16.49,660987.44,0.00015213
2020-05-24,16.489,16.803,15.929,15.952,833129.55,0.00029677
2020-05-25,15.943,16.426,15.789,16.385,1036864.54,0.0
2020-05-26,16.385,16.503,15.972,16.219,861433.7,0.0
2020-05-27,16.214,16.517,16.162,16.481,715038.99,0.0
