date,open,high,low,close,volume,funding_rate
2020-08-22,2.92,5.1,2.92,4.465,34281718.6,0.00221266
2020-08-23,4.482,4.5,3.706,3.993,23021804.0,0.0041616499999999
2020-08-24,3.993,4.81,3.755,4.594,27131790.2,0.00350163
2020-08-25,4.585,5.776,4.492,5.56,54379664.2,0.00151962
2020-08-26,5.56,6.598,5.102,6.092,51031902.3,0.00282521
2020-08-27,6.092,6.828,5.23,5.668,75224186.8,0.00310108
2020-08-28,5.658,6.388,5.511,6.179,33421289.7,0.00105278
2020-08-29,6.186,6.571,6.018,6.144,24587097.5,0.00226716
2020-08-30,6.148,6.237,5.721,5.899,20792243.5,0.00537613
2020-08-31,5.898,6.479,5.762,6.275,22653228.3,0.00439629
2020-09-01,6.275,6.889,6.125,6.253,24095350.4,0.0033308499999999
2020-09-02,6.254,6.46,5.51,6.136,27104128.0,0.00237611
2020-09-03,6.144,6.339,5.55,5.68,40503527.5,0.00041078
2020-09-04,5.68,5.995,4.467,5.105,46084440.4,0.0003
2020-09-05,5.102,5.315,3.55,4.145,48012193.8,0.0003
2020-09-06,4.145,4.946,3.726,4.789,33884882.7,0.0003
2020-09-07,4.789,4.836,4.001,4.598,22395692.9,0.0003
2020-09-08,4.598,4.632,4.108,4.274,15114305.5,0.0003
2020-09-09,4.268,4.8,4.132,4.706,15706478.6,0.0003
2020-09-10,4.707,4.9,4.442,4.577,14627909.7,0.0003
2020-09-11,4.578,4.744,4.294,4.651,12384407.3,0.0003
2020-09-12,4.65,5.304,4.499,5.143,23105202.5,0.0003
2020-09-13,5.143,5.481,4.77,5.33,28970409.1,0.00030822
2020-09-14,5.33,5.584,5.089,5.365,21796482.8,0.00062989
2020-09-15,5.363,5.452,5.044,5.062,15695368.3,0.00042414
2020-09-16,5.061,5.291,4.969,5.082,12657543.0,0.00037489
2020-09-17,5.077,5.432,5.049,5.34,13989325.4,0.00095535
2020-09-18,5.338,5.465,5.091,5.268,11417450.6,0.00157277
2020-09-19,5.269,5.273,4.806,4.929,7722368.4,0.00084451
2020-09-20,4.926,4.974,4.376,4.661,13744406.2,0.00030632
2020-09-21,4.661,4.699,3.906,4.069,26452655.3,0.0003
2020-09-22,4.069,4.21,3.9,4.164,13963592.0,0.0003
2020-09-23,4.162,4.327,3.939,4.017,18670450.4,0.0003
2020-09-24,4.017,4.469,3.96,4.38,16488091.9,0.0003
2020-09-25,4.38,4.534,4.236,4.416,10448990.3,0.0003
2020-09-26,4.417,4.485,4.224,4.331,6762111.0,0.0003
2020-09-27,4.33,4.368,4.11,4.301,7868546.8,0.0003
2020-09-28,4.3,4.596,4.203,4.456,16281359.8,0.0003
2020-09-29,4.454,4.617,4.352,4.499,13468351.9,0.0003
2020-09-30,4.499,4.505,4.237,4.35,8146297.3,0.0003
2020-10-01,4.35,4.593,4.241,4.348,14286848.1,0.0003
2020-10-02,4.346,4.366,3.848,4.125,12576507.8,0.0003
2020-10-03,4.125,4.147,4.024,4.061,4591505.0,0.0003
2020-10-04,4.061,4.198,4.006,4.178,5334150.7,0.00022816
2020-10-05,4.177,4.245,4.104,4.16,6958518.5,-0.00027872
2020-10-06,4.159,4.179,3.592,3.743,17071553.3,-0.00085599
2020-10-07,3.743,3.885,3.591,3.85,15267754.0,-0.00130107
2020-10-08,3.849,4.16,3.621,4.117,18897243.0,0.00029008
2020-10-09,4.115,4.353,4.01,4.257,13744416.0,0.0003
2020-10-10,4.254,4.49,4.223,4.262,11444963.4,0.0003
2020-10-11,4.262,4.343,4.164,4.248,8330751.3,0.0003
2020-10-12,4.248,4.455,4.178,4.311,14438897.4,0.0003
2020-10-13,4.31,4.349,4.125,4.254,8263068.0,0.0003
2020-10-14,4.254,4.388,4.074,4.186,11394825.4,0.00031496
2020-10-15,4.186,4.193,4.019,4.103,8460458.8,0.0003
2020-10-16,4.102,4.161,3.79,3.916,9332072.8,0.0003
2020-10-17,3.917,3.982,3.862,3.967,3942619.0,0.0003
2020-10-18,3.967,4.13,3.956,4.111,4442084.6,0.0003
2020-10-19,4.109,4.125,3.953,3.989,5237793.8,0.0003
2020-10-20,3.988,4.15,3.863,3.903,11666325.9,0.0003
2020-10-21,3.904,4.247,3.89,4.136,13125316.1,0.0003
2020-10-22,4.136,4.345,4.124,4.274,11088616.7,0.0003
2020-10-23,4.272,4.492,4.184,4.266,13498558.6,0.0004859699999999
2020-10-24,4.265,4.439,4.242,4.352,10436586.4,0.0003
2020-10-25,4.351,4.451,4.257,4.33,7512771.4,0.0003
2020-10-26,4.333,4.751,4.289,4.702,23157749.7,0.0003
2020-10-27,4.703,4.939,4.641,4.677,18254991.3,0.0003
2020-10-28,4.677,4.784,4.23,4.358,15525273.3,0.0003
2020-10-29,4.356,4.411,3.822,4.055,18536282.2,0.0003
2020-10-30,4.054,4.161,3.908,4.081,10743311.6,0.00023564
2020-10-31,4.08,4.281,4.054,4.18,6751670.7,0.0003
2020-11-01,4.181,4.224,4.104,4.218,4507314.7,0.0003
2020-11-02,4.22,4.264,3.957,4.026,10764650.7,0.0003
2020-11-03,4.026,4.068,3.877,4.033,9641198.0,0.00023103
2020-11-04,4.033,4.155,3.887,4.096,11005075.9,-0.00025969
2020-11-05,4.097,4.303,4.008,4.224,10263880.4,0.0003
2020-11-06,4.224,4.645,4.201,4.587,12754179.9,0.0003
2020-11-07,4.585,4.866,4.078,4.235,20256437.4,0.00063192
2020-11-08,4.234,4.431,4.127,4.373,9744221.0,0.0003
2020-11-09,4.372,4.466,4.238,4.349,8799504.9,0.0003
2020-11-10,4.349,4.509,4.303,4.422,7862750.1,0.0003
2020-11-11,4.424,4.635,4.414,4.45,8980090.5,0.0003
2020-11-12,4.449,4.479,4.31,4.405,5993160.6,0.0003
2020-11-13,4.406,4.597,4.368,4.543,8344282.1,0.0003
2020-11-14,4.543,4.559,4.353,4.465,7048928.1,0.0003
2020-11-15,4.467,4.509,4.302,4.366,8876203.6,0.0003
2020-11-16,4.369,4.604,4.336,4.502,12131373.2,0.0003
2020-11-17,4.501,4.95,4.491,4.864,22824103.0,0.00070727
2020-11-18,4.864,4.953,4.4,4.682,16570102.1,0.00072495
2020-11-19,4.682,4.858,4.539,4.759,10079058.3,0.0003
2020-11-20,4.759,5.481,4.741,5.234,27612938.7,0.00048797
2020-11-21,5.234,5.832,5.128,5.796,24807643.3,0.00080314
2020-11-22,5.795,5.876,5.167,5.525,21964164.1,0.00143009
2020-11-23,5.526,6.0,5.421,5.919,24914371.9,0.00353312
2020-11-24,5.92,6.114,5.502,5.747,25837968.1,0.00304293
2020-11-25,5.747,5.849,5.108,5.306,17482952.4,0.0019965399999999
2020-11-26,5.306,5.379,4.43,4.804,26341446.8,0.0003
2020-11-27,4.805,5.074,4.507,4.81,11243818.4,0.0003
2020-11-28,4.809,4.955,4.669,4.888,8428910.8,0.0003
2020-11-29,4.891,5.21,4.795,5.19,9711959.5,0.0003
2020-11-30,5.19,5.453,5.13,5.381,15230998.5,0.00014792
2020-12-01,5.382,5.556,4.952,5.081,14573932.8,0.0003
2020-12-02,5.083,5.546,4.981,5.457,10838129.1,0.0003
2020-12-03,5.457,5.575,5.316,5.403,8426289.0,0.0003
2020-12-04,5.402,5.439,4.954,4.999,8403326.4,0.0003
2020-12-05,4.999,5.195,4.876,5.185,5398595.6,0.0003
2020-12-06,5.185,5.208,5.002,5.132,4433815.4,0.0003
2020-12-07,5.133,5.16,5.01,5.06,4273470.4,0.0003
2020-12-08,5.06,5.075,4.695,4.74,7513347.8,0.0003
2020-12-09,4.74,4.938,4.616,4.87,8663731.1,0.0003
2020-12-10,4.871,4.918,4.74,4.8,4622098.7,0.0003
2020-12-11,4.802,4.815,4.54,4.612,5967989.9,0.0003
2020-12-12,4.614,4.796,4.606,4.738,4918743.1,0.0003
2020-12-13,4.738,4.998,4.724,4.897,6843704.3,0.0003
2020-12-14,4.896,5.0,4.824,4.896,5389103.6,0.0003
2020-12-15,4.896,5.29,4.841,5.241,10679386.5,0.0003
2020-12-16,5.241,5.386,5.113,5.372,11642308.1,0.0003
2020-12-17,5.372,5.775,5.259,5.35,21169940.1,0.00167029
2020-12-18,5.35,5.518,5.253,5.365,10031010.9,0.00072502
2020-12-19,5.365,5.59,5.275,5.343,8289631.5,0.00105397
2020-12-20,5.344,5.45,5.08,5.19,9485680.4,0.00084364
2020-12-21,5.191,5.457,4.782,4.877,15555773.8,0.0005641
2020-12-22,4.879,5.181,4.801,5.154,13992355.8,0.0003
2020-12-23,5.153,5.197,4.582,4.717,13136426.7,0.0003
2020-12-24,4.717,5.207,4.631,5.115,15103613.3,0.0003
2020-12-25,5.114,5.29,5.04,5.212,9655072.7,0.0003
2020-12-26,5.213,5.295,5.076,5.193,9129517.1,0.0003
2020-12-27,5.195,5.435,4.938,5.149,22121978.6,0.0003
2020-12-28,5.151,6.737,5.111,6.608,49271746.0,0.00065051
