date,open,high,low,close,volume,funding_rate
2020-10-16,60.455,60.462,24.5,30.318,10257406.6,-0.015
2020-10-17,30.205,37.5,28.1,34.7,6897928.6,-0.0225
2020-10-18,34.62,35.59,30.711,31.57,3993747.3,-0.0225
2020-10-19,31.527,31.85,26.66,30.08,7205885.4,-0.0225
2020-10-20,30.025,30.5,27.834,29.8,3611696.2,-0.0225
2020-10-21,29.816,31.517,26.4,26.4,3981233.7,-0.0225
2020-10-22,26.4,26.591,22.055,23.058,5930854.4,-0.01201135
2020-10-23,23.031,25.899,19.765,23.76,9244732.0,-0.0225
2020-10-24,23.766,25.55,21.66,24.486,8507454.6,-0.0225
2020-10-25,24.514,37.24,24.065,32.9,17588994.7,-0.0225
2020-10-26,32.925,34.48,27.129,28.649,11686127.2,-0.0225
2020-10-27,28.678,37.0,27.88,34.903,8331819.0,-0.0225
2020-10-28,34.917,35.9,31.8,33.459,5975538.9,-0.02116829
2020-10-29,33.45,33.969,31.131,32.452,4289565.0,-0.00948492
2020-10-30,32.452,32.471,28.4,29.1,5550097.7,-0.00799053
2020-10-31,29.1,32.738,28.1,31.201,4003763.8,-0.0047332
2020-11-01,31.19,31.852,30.473,31.544,2423092.2,-0.0055235
2020-11-02,31.526,31.96,29.305,29.557,2761232.8,-0.00393731
2020-11-03,29.556,29.649,27.847,28.82,2336767.6,-0.00388904
2020-11-04,28.825,29.466,28.015,28.823,2333022.3,-0.00371373
2020-11-05,28.817,30.262,28.3,29.356,2072858.1,-0.00286143
2020-11-06,29.351,33.291,29.152,31.677,3567553.9,-0.00036118
2020-11-07,31.675,33.372,29.221,29.889,3912790.0,-0.00260701
2020-11-08,29.89,31.999,29.5,30.722,1262322.5,-0.00174236
2020-11-09,30.714,32.171,30.18,31.187,1805987.1,-0.00238516
2020-11-10,31.172,31.38,30.243,30.366,1655533.9,-0.00299049
2020-11-11,30.372,30.998,29.29,30.066,1310805.7,0.00014572
2020-11-12,30.057,30.333,28.472,29.463,896517.2,-0.002147
2020-11-13,29.447,30.056,29.01,29.134,775836.6,-0.0019606
2020-11-14,29.125,29.448,28.401,29.266,794184.6,-0.00114582
2020-11-15,29.261,29.35,27.34,27.684,954972.2,-0.00086037
2020-11-16,27.682,28.011,27.1,27.406,986896.2,-0.00130836
2020-11-17,27.399,29.928,27.311,29.113,1986009.6,-0.00172877
2020-11-18,29.126,29.832,27.343,28.82,1306902.9,-0.00134236
2020-11-19,28.82,29.375,28.003,28.808,682504.3,-0.00073776
2020-11-20,28.807,30.7,28.473,29.069,1437720.7,9.369e-05
2020-11-21,29.065,31.235,28.787,29.994,2495619.4,0.00141853
2020-11-22,30.02,30.32,28.503,28.942,1320168.0,0.0006306
2020-11-23,28.943,29.63,28.727,29.242,1141584.4,0.00168477
2020-11-24,29.239,30.971,28.572,29.795,2436595.3,0.00152307
2020-11-25,29.795,35.471,29.6,31.005,6087640.2,0.00155653
2020-11-26,31.015,32.155,28.3,29.899,3566044.5,0.00034601
2020-11-27,29.901,30.494,29.263,29.943,1064136.2,0.0003
2020-11-28,29.931,30.424,29.662,29.968,729809.2,0.0003
2020-11-29,29.965,30.251,29.748,30.058,610317.4,0.00062229
2020-11-30,30.066,30.936,30.048,30.44,1105356.3,0.0010249
2020-12-01,30.446,32.059,29.601,30.353,1747667.6,0.00144394
2020-12-02,30.337,31.341,30.09,30.628,1068167.5,0.00145679
2020-12-03,30.62,30.946,30.171,30.443,870835.0,0.00223004
2020-12-04,30.436,30.6,28.77,28.983,1006396.7,0.0003
2020-12-05,28.97,30.15,28.825,29.857,469870.8,-0.00058783
2020-12-06,29.858,30.099,29.01,29.339,428622.2,-1.0620000000000003e-05
2020-12-07,29.334,34.021,29.285,30.505,2724477.1,0.0003
2020-12-08,30.505,30.959,29.584,29.9,1609570.8,0.00117215
2020-12-09,29.9,31.44,29.594,30.47,2205320.0,0.0003
2020-12-10,30.466,32.48,30.401,30.555,2685081.2,0.0003
2020-12-11,30.55,30.73,29.802,29.878,1309936.4,8.98e-05
2020-12-12,29.877,30.328,29.814,29.924,523755.7,0.0003
2020-12-13,29.925,30.35,29.871,29.973,484793.6,-3.465e-05
2020-12-14,29.972,30.152,29.078,29.326,655848.7,-0.00055106
2020-12-15,29.34,29.8,29.014,29.127,566436.1,0.0003
2020-12-16,29.127,29.51,27.757,28.427,1148205.1,0.0003
2020-12-17,28.42,29.544,28.284,28.481,1220089.4,0.00101016
2020-12-18,28.481,28.903,28.324,28.49,456713.1,0.0003
2020-12-19,28.49,28.9,28.07,28.204,766229.9,0.0003
2020-12-20,28.203,28.498,27.946,28.435,494827.6,0.0003
2020-12-21,28.437,28.445,23.666,24.986,2878901.7,-0.00403191
2020-12-22,24.977,25.55,24.261,24.611,1662914.5,-0.00237786
2020-12-23,24.614,24.96,21.223,22.37,2039471.5,-0.0034862499999999
2020-12-24,22.373,24.457,21.842,23.693,1868814.6,-0.00314241
2020-12-25,23.692,24.575,23.106,24.342,1439146.3,-0.00053084
2020-12-26,24.335,24.35,23.417,23.571,416443.9,0.0003
2020-12-27,23.571,23.694,22.134,22.134,1045363.2,0.00026022
2020-12-28,22.135,23.091,21.89,21.954,939810.7,-0.0004464899999999
2020-12-29,21.95,22.238,19.899,20.4,1498335.4,-0.00261745
2020-12-30,20.395,22.0,20.161,21.445,1640581.0,-0.00395563
2020-12-31,21.443,26.316,21.06,24.355,4331026.9,-0.00171747
2021-01-01,24.357,25.054,21.813,22.233,2330773.9,0.0003
2021-01-02,22.234,23.2,21.226,21.782,1595747.7,0.0003
2021-01-03,21.777,22.049,20.774,21.48,1869400.9,0.00120693
2021-01-04,21.486,23.045,20.939,21.415,3137369.9,0.00182708
2021-01-05,21.412,22.493,21.0,21.629,1567169.4,0.00053098
2021-01-06,21.631,22.678,21.504,21.986,1479141.5,0.00280147
2021-01-07,21.986,23.152,21.784,22.101,2147655.5,0.00510301
2021-01-08,22.084,22.335,21.155,21.657,1340007.9,0.00232735
2021-01-09,21.645,22.71,21.379,22.085,1129865.0,0.0029515899999999
2021-01-10,22.086,24.448,22.086,23.458,4002846.1,0.00622502
2021-01-11,23.453,23.593,20.878,21.684,2287179.0,0.00130672
2021-01-12,21.674,21.945,20.903,21.013,1135955.4,0.00033347
2021-01-13,21.017,21.951,20.936,21.74,1039463.1,0.00033763
2021-01-14,21.748,22.339,21.39,21.624,1221953.4,0.00276795
2021-01-15,21.629,22.302,21.226,21.561,1303510.1,0.00084566
2021-01-16,21.561,25.143,21.543,22.866,4191600.5,0.00075201
2021-01-17,22.865,26.209,22.445,24.409,6618286.6,0.00087185
2021-01-18,24.394,24.999,23.508,23.822,2302781.3,0.00321365
2021-01-19,23.828,25.322,22.617,22.67,2727013.1,0.00610065
2021-01-20,22.685,23.179,21.677,22.38,2459951.7,0.00319804
2021-01-21,22.391,22.777,20.804,21.317,1924732.3,0.00197929
2021-01-22,21.33,23.216,20.6,22.303,3955963.5,0.0003
2021-01-23,22.298,23.623,22.166,22.74,2895997.9,0.00121389
2021-01-24,22.739,23.19,22.388,22.725,1622248.1,0.00069211
2021-01-25,22.724,23.127,22.335,22.415,1312536.8,0.0005561
2021-01-26,22.415,22.765,21.789,22.224,1069365.3,0.0003
2021-01-27,22.218,22.252,21.199,21.45,1219345.6,0.00030108
2021-01-28,21.444,22.132,21.328,21.933,977002.5,0.00174427
2021-01-29,21.942,22.949,21.9,22.341,2109924.8,0.0037769
2021-01-30,22.344,22.636,21.98,22.098,1094229.9,0.0023163
2021-01-31,22.095,22.676,22.064,22.289,1449753.9,0.00394146
2021-02-01,22.289,24.178,22.05,22.656,4301069.7,0.00288196
2021-02-02,22.659,23.019,22.305,22.525,1249344.9,0.0018690199999999
2021-02-03,22.521,23.59,22.469,23.117,1602857.0,0.0054531399999999
2021-02-04,23.119,23.367,22.441,22.93,1735079.0,0.00436532
2021-02-05,22.921,25.71,22.823,24.545,4585538.6,0.00507976
2021-02-06,24.545,25.3,23.73,24.288,2755509.5,0.00398835
2021-02-07,24.295,24.689,23.73,24.079,1992557.6,0.00311407
2021-02-08,24.085,29.073,23.831,27.753,6677826.4,0.00524654
2021-02-09,27.751,53.096,27.235,44.293,22016773.1,0.00740589
2021-02-10,44.24,46.415,34.4,39.9,16219908.4,0.00798987
2021-02-11,39.9,43.261,35.363,40.42,6116845.5,0.00638933
2021-02-12,40.424,45.0,39.3,42.711,5871626.5,0.00833534
2021-02-13,42.732,45.758,39.5,41.702,5497705.8,0.00914611
2021-02-14,41.719,52.596,41.39,47.202,9859137.1,0.00942514
2021-02-15,47.223,50.899,34.471,42.962,11884244.3,0.00356258
2021-02-16,43.005,45.962,40.125,41.955,4300789.2,0.00404235
2021-02-17,41.955,44.862,40.266,43.266,3328940.5,0.00327138
2021-02-18,43.288,44.589,42.384,43.475,2621099.3,0.00655286
2021-02-19,43.493,43.92,41.303,43.274,3573546.6,0.0077272
2021-02-20,43.311,49.452,42.0,43.067,6868871.2,0.01026983
2021-02-21,43.083,46.05,42.501,44.695,3125664.7,0.00175206
2021-02-22,44.691,44.901,30.849,39.318,6902985.7,-0.00299571
2021-02-23,39.325,39.436,30.443,35.479,5339196.3,-6.259e-05
2021-02-24,35.482,38.209,34.296,36.564,2563151.3,0.0003
2021-02-25,36.583,37.472,34.634,34.89,2233005.0,-0.00133472
2021-02-26,34.881,36.518,33.194,35.133,1902498.1,-0.0012303499999999
2021-02-27,35.133,38.807,35.082,37.915,2506162.7,0.0003
2021-02-28,37.895,38.388,34.653,35.942,1964773.4,0.0003
2021-03-01,35.937,39.478,35.651,38.607,1923626.1,-0.00066753
2021-03-02,38.605,39.045,37.192,38.229,1650467.9,0.0003
2021-03-03,38.242,45.0,38.026,42.143,4122780.7,0.00115348
2021-03-04,42.143,43.366,39.853,40.795,2176125.0,0.00092516
2021-03-05,40.809,40.848,37.081,40.468,1455589.7,0.0003
2021-03-06,40.47,40.924,38.957,40.421,1070784.6,0.0003
2021-03-07,40.426,42.5,40.291,41.459,1219373.8,0.0003
2021-03-08,41.46,42.0,40.614,41.587,1206471.1,0.00123944
2021-03-09,41.591,42.63,41.258,42.014,1363052.6,0.0029714
2021-03-10,42.023,44.289,41.04,42.49,2347096.0,0.00230448
2021-03-11,42.521,43.191,41.686,42.306,1552123.2,0.00104557
2021-03-12,42.307,45.203,42.007,44.09,2913215.8,0.0015555999999999
2021-03-13,44.086,52.216,43.508,49.531,4508779.2,0.0018941799999999
2021-03-14,49.53,57.559,49.513,53.878,6470222.9,0.00424919
2021-03-15,53.869,56.794,51.97,53.38,3908644.9,0.00217167
2021-03-16,53.369,64.043,50.681,63.634,4670657.6,0.00086563
2021-03-17,63.671,96.57,62.687,88.563,17324082.8,0.00153919
2021-03-18,88.563,89.747,74.07,79.68,13150071.3,0.00054173
2021-03-19,79.629,86.0,75.768,83.081,5573377.1,0.0003
2021-03-20,83.11,86.125,81.5,82.116,2474762.6,0.00108206
2021-03-21,82.119,83.38,80.169,80.684,2011222.4,0.00036393
2021-03-22,80.676,81.5,75.233,76.387,2401406.2,0.00030126
2021-03-23,76.388,85.371,73.133,82.585,4830696.8,-0.00037891
2021-03-24,82.568,94.966,79.559,85.857,7416547.3,0.0003
2021-03-25,85.854,96.305,84.869,90.905,8553508.2,0.0003
2021-03-26,90.896,129.265,90.896,124.631,12704753.3,4.847e-05
2021-03-27,124.643,139.56,120.0,132.395,15890505.8,0.0003
2021-03-28,132.375,133.78,119.94,125.187,6944222.9,0.00023713
2021-03-29,125.193,130.612,123.701,127.521,4082356.6,0.00055838
2021-03-30,127.51,153.613,125.0,149.858,9683953.8,0.00281099
2021-03-31,149.864,198.427,144.0,190.997,21113337.3,0.00150483
2021-04-01,190.986,238.511,180.0,185.563,26279100.0,0.00217578
2021-04-02,185.547,206.0,160.565,172.388,14570463.5,0.00233354
2021-04-03,172.42,181.808,162.4,178.227,9438588.9,0.00506762
2021-04-04,178.228,193.961,175.343,183.0,7272455.5,0.00072216
2021-04-05,183.03,187.293,170.2,176.608,3938084.1,0.00269305
2021-04-06,176.619,179.214,163.811,165.806,3100473.5,0.00449183
2021-04-07,165.853,166.705,135.5,156.295,10137892.1,0.0021962
2021-04-08,156.313,158.979,146.363,154.216,4476548.5,0.0008639
