date,open,high,low,close,volume,funding_rate
2020-09-24,0.03463,0.042,0.03463,0.039761,241855280.0,-0.00019013
2020-09-25,0.039696,0.043662,0.036506,0.04192,139677112.0,0.0003
2020-09-26,0.041843,0.0424,0.038241,0.040105,99734379.0,0.0003
2020-09-27,0.040105,0.041195,0.037443,0.039657,94255490.0,0.0003
2020-09-28,0.039699,0.044993,0.038563,0.0393,196701375.0,0.0003
2020-09-29,0.0393,0.040774,0.03694,0.039048,103195848.0,0.0003
2020-09-30,0.039052,0.0392,0.035597,0.03908,109823603.0,0.0003
2020-10-01,0.0392,0.040614,0.03515,0.037027,113958004.0,0.0003
2020-10-02,0.037009,0.037659,0.030259,0.033286,185197484.0,0.0003
2020-10-03,0.033337,0.033815,0.030553,0.030929,125624287.0,0.0003
2020-10-04,0.030946,0.032605,0.029513,0.031898,115836224.0,0.0003
2020-10-05,0.031898,0.032438,0.029016,0.030221,108467776.0,0.0003
2020-10-06,0.030221,0.030338,0.024873,0.025894,199873480.0,0.0003
2020-10-07,0.025856,0.027888,0.023512,0.027013,208494543.0,0.0003
2020-10-08,0.027012,0.029351,0.025016,0.029238,156694698.0,0.0003
2020-10-09,0.029229,0.032196,0.0285,0.031639,204964585.0,0.0003
2020-10-10,0.031634,0.033652,0.030824,0.031301,183160636.0,0.0003
2020-10-11,0.031338,0.033775,0.03001,0.032584,123511384.0,0.0003524
2020-10-12,0.032653,0.034588,0.030421,0.03181,188437042.0,0.00030112
2020-10-13,0.03181,0.0329,0.030565,0.03121,69863429.0,0.0003
2020-10-14,0.031215,0.031595,0.027577,0.028927,129083426.0,0.0003
2020-10-15,0.028919,0.031189,0.026541,0.02995,210878745.0,0.0003
2020-10-16,0.029971,0.030324,0.022222,0.025176,161917153.0,0.0003
2020-10-17,0.025228,0.02645,0.024392,0.026019,106334313.0,0.0003
2020-10-18,0.026005,0.027439,0.025846,0.026226,54167701.0,0.0003
2020-10-19,0.026278,0.026383,0.024889,0.025193,58523792.0,0.0003
2020-10-20,0.025188,0.025563,0.021548,0.022724,146274246.0,0.0003
2020-10-21,0.022737,0.025216,0.02267,0.023668,126116955.0,0.0003
2020-10-22,0.023652,0.0276,0.023572,0.025168,185434300.0,0.0003
2020-10-23,0.025116,0.025857,0.023444,0.024462,92320038.0,0.0003
2020-10-24,0.024454,0.026519,0.024048,0.025913,108247421.0,0.0003
2020-10-25,0.025931,0.026269,0.023625,0.024262,81267836.0,0.0003
2020-10-26,0.024226,0.024785,0.0216,0.021853,92371204.0,0.0003
2020-10-27,0.021883,0.023049,0.021,0.021653,202894360.0,0.00063053
2020-10-28,0.021653,0.021935,0.0183,0.018926,327923855.0,0.00075171
2020-10-29,0.018918,0.01933,0.016111,0.016717,227688861.0,0.0003
2020-10-30,0.016705,0.017682,0.014955,0.017091,330417027.0,0.0003
2020-10-31,0.017118,0.018412,0.016308,0.016733,301317865.0,0.0003
2020-11-01,0.016727,0.017099,0.015725,0.016123,200663546.0,0.0003
2020-11-02,0.016148,0.017496,0.015869,0.01597,197176440.0,0.0003
2020-11-03,0.015963,0.016132,0.014498,0.015234,194604709.0,0.00030105
2020-11-04,0.015234,0.015269,0.012812,0.01381,268230406.0,0.0003
2020-11-05,0.013819,0.015135,0.013341,0.014358,271134800.0,0.0003
2020-11-06,0.014361,0.018325,0.014241,0.017991,434975291.0,0.0003
