date,open,high,low,close,volume,funding_rate
2021-05-11,380.0,478.87,327.96,364.8,780705.33,
2021-05-12,364.99,387.18,252.5,257.65,1249975.6,
2021-05-13,257.65,346.99,249.68,301.66,989413.91,
2021-05-14,301.68,341.7,291.08,304.63,516292.13,
2021-05-15,304.7,305.19,238.69,246.34,517088.62,
2021-05-16,246.31,264.4,204.49,225.48,658633.67,
2021-05-17,225.47,225.83,184.1,195.92,793711.9,
2021-05-18,195.82,205.9,160.23,163.4,1084578.1,
2021-05-19,163.51,179.0,61.41,122.56,1948426.59,
2021-05-20,122.53,222.0,102.96,164.07,3738215.06,
2021-05-21,164.06,186.57,119.28,145.4,2009635.35,
2021-05-22,145.4,168.6,124.2,146.11,1237020.88,
2021-05-23,146.11,165.0,120.4,143.56,1688417.62,
2021-05-24,143.6,163.51,135.4,147.78,1168245.37,
2021-05-25,147.76,156.35,123.11,134.05,1047477.13,
2021-05-26,134.01,152.2,131.83,142.8,936763.78,
2021-05-27,142.63,145.76,129.29,132.45,646912.99,
2021-05-28,132.39,133.17,109.77,115.73,1099049.82,
2021-05-29,115.76,119.82,105.44,110.66,714999.11,
2021-05-30,110.64,118.89,104.23,111.9,546981.13,
2021-05-31,111.91,115.38,105.29,114.65,575953.71,
2021-06-01,114.67,117.07,106.2,107.59,512622.04,
2021-06-02,107.59,113.05,101.8,108.04,897109.59,
2021-06-03,108.06,136.6,105.23,124.58,1663810.72,
2021-06-04,124.68,124.68,105.3,108.96,1681829.78,
2021-06-05,108.88,116.3,99.17,104.56,1045788.07,
2021-06-06,104.59,109.88,102.44,104.55,648107.91,
2021-06-07,104.56,106.75,88.57,91.12,1145258.73,
2021-06-08,91.13,94.35,76.52,81.2,1440064.55,
2021-06-09,81.23,89.08,76.95,81.56,1674584.89,
2021-06-10,81.57,83.67,65.6,66.54,3145842.51,
2021-06-11,66.58,72.4,56.07,58.41,4670611.01,
2021-06-12,58.43,67.5,52.72,61.17,5007615.38,
2021-06-13,61.13,66.5,57.14,64.47,4187498.67,
2021-06-14,64.47,70.8,61.88,66.73,2751770.37,
2021-06-15,66.7,68.89,58.59,60.37,3063176.87,
2021-06-16,60.36,60.47,54.71,55.37,2729002.34,
2021-06-17,55.37,60.18,50.88,54.14,3182821.48,
2021-06-18,54.13,55.55,46.89,48.47,3180873.98,
2021-06-19,48.46,54.93,46.3,48.63,4125001.73,
2021-06-20,48.61,50.76,44.11,47.11,3570141.41,
2021-06-21,47.11,47.63,36.16,36.64,5533301.64,
2021-06-22,36.64,40.09,31.72,34.52,5373843.9,
2021-06-23,34.52,40.89,32.78,37.71,4708595.19,
2021-06-24,37.72,38.9,33.06,34.62,4662309.35,
2021-06-25,34.63,36.69,30.6,31.05,5694264.68,
2021-06-26,31.06,33.71,28.27,30.31,6148135.51,
2021-06-27,30.31,45.68,29.43,43.0,15188213.7,
2021-06-28,42.99,51.59,40.52,51.26,19252694.4,
2021-06-29,51.26,59.49,46.75,54.21,15715572.22,
2021-06-30,54.23,54.74,43.17,49.91,16859714.19,
2021-07-01,49.88,50.8,44.12,45.64,10451503.79,
2021-07-02,45.64,47.4,41.38,43.79,7817152.02,
2021-07-03,43.79,49.98,42.67,48.71,7552715.07,
2021-07-04,48.73,50.95,46.42,46.68,5801543.72,
2021-07-05,46.69,47.91,43.95,46.28,6451365.79,
2021-07-06,46.29,48.36,44.92,46.22,4617882.85,
2021-07-07,46.22,47.96,45.0,45.4,4000181.97,
2021-07-08,45.38,45.53,39.11,40.22,5056662.68,
2021-07-09,40.24,42.47,37.15,40.58,4371397.51,
2021-07-10,40.57,42.1,37.57,38.63,3251052.68,
2021-07-11,38.63,41.45,37.71,39.75,3286222.29,
2021-07-12,39.75,41.01,35.83,37.24,3309195.29,
2021-07-13,37.22,39.92,35.26,38.95,4427771.89,
2021-07-14,38.97,39.85,35.23,36.85,6003457.94,
2021-07-15,36.85,38.41,35.21,36.03,4449504.92,
2021-07-16,36.01,36.15,32.13,32.37,3704370.53,
2021-07-17,32.36,33.47,31.1,32.28,3712305.65,
2021-07-18,32.28,34.8,31.81,32.35,3205212.81,
2021-07-19,32.36,32.58,29.75,30.91,3001051.91,
2021-07-20,30.91,31.55,26.81,28.5,5036223.77,
2021-07-21,28.5,35.13,27.73,33.52,6618446.06,
2021-07-22,33.52,35.44,32.18,33.76,6235477.07,
2021-07-23,33.74,35.06,31.66,34.61,3951639.62,
2021-07-24,34.64,45.78,33.83,43.48,11094896.46,
2021-07-25,43.49,46.08,40.38,42.53,10448696.31,
2021-07-26,42.53,48.46,40.5,40.63,8449692.27,
2021-07-27,40.62,41.77,37.46,41.01,6815629.07,
2021-07-28,41.03,43.85,39.24,40.78,5725714.24,
2021-07-29,40.76,41.92,39.03,41.26,3492934.46,
2021-07-30,41.26,42.73,38.31,42.16,3831071.93,
2021-07-31,42.19,43.95,40.4,41.96,4199773.65,
2021-08-01,41.95,44.92,40.41,40.86,4755816.35,
2021-08-02,40.87,41.56,39.72,40.23,3064394.13,
2021-08-03,40.23,40.69,37.55,38.55,3794441.15,
2021-08-04,38.56,40.47,37.8,39.34,3325033.74,
2021-08-05,39.33,42.75,38.11,42.15,4416151.44,
2021-08-06,42.15,52.45,40.5,48.27,14200014.35,
2021-08-07,48.3,66.2,47.86,61.86,27838056.66,
2021-08-08,61.85,62.36,53.3,55.3,14032793.77,
2021-08-09,55.27,69.0,52.74,64.28,20571762.7,
2021-08-10,64.27,76.48,61.4,71.7,18310504.62,
2021-08-11,71.71,77.2,65.54,67.19,12675171.42,
2021-08-12,67.19,72.5,60.0,64.18,11500980.52,
2021-08-13,64.2,68.99,62.66,68.32,7723796.47,
2021-08-14,68.32,68.41,62.0,64.25,5885066.44,
2021-08-15,64.25,65.16,58.26,63.48,5846647.22,
2021-08-16,63.5,67.95,60.35,61.1,7557332.72,
2021-08-17,61.09,64.34,54.25,56.13,8417098.8,
2021-08-18,56.13,61.57,54.0,58.55,7476498.03,
2021-08-19,58.55,69.15,57.81,67.14,12651360.1,
2021-08-20,67.14,71.03,65.75,67.96,7801194.15,
2021-08-21,67.97,69.55,63.0,64.66,5595692.62,
2021-08-22,64.66,67.11,61.6,64.63,4062922.78,
2021-08-23,64.62,67.68,63.33,65.72,4267373.35,
2021-08-24,65.71,67.0,57.24,59.21,5152434.63,
2021-08-25,59.22,63.85,55.78,62.26,5569038.44,
2021-08-26,62.27,63.32,56.05,56.58,6362991.11,
2021-08-27,56.59,63.73,54.5,62.8,7586476.65,
2021-08-28,62.82,68.68,61.81,65.14,9154555.76,
2021-08-29,65.15,74.88,61.5,72.1,12321406.44,
2021-08-30,72.1,73.3,63.62,64.8,11036211.07,
2021-08-31,64.81,67.88,61.8,62.86,6963772.98,
2021-09-01,62.85,66.57,60.5,66.27,5596393.14,
2021-09-02,66.28,68.98,64.24,64.6,5416610.43,
2021-09-03,64.61,68.6,63.04,65.89,4999904.75,
2021-09-04,65.89,78.82,65.51,78.37,11095027.35,
2021-09-05,78.36,83.7,76.16,79.41,13100259.42,
2021-09-06,79.41,87.2,76.47,79.62,9937363.9,
2021-09-07,79.61,80.05,50.68,61.28,13266423.22,
2021-09-08,61.28,63.88,55.33,61.45,6516976.32,
2021-09-09,61.44,64.65,58.67,60.89,6507984.02,
2021-09-10,60.89,63.17,54.06,56.9,5710061.03,
2021-09-11,56.9,62.0,55.59,58.09,5077260.87,
2021-09-12,58.09,61.92,56.35,59.48,4259426.81,
2021-09-13,59.5,60.3,50.1,55.05,5279658.84,
2021-09-14,55.05,58.83,54.4,56.91,3813827.77,
2021-09-15,56.95,62.3,56.7,61.44,4127678.89,
2021-09-16,61.45,61.72,56.56,57.99,3779084.81,
2021-09-17,57.98,58.65,55.06,56.51,2945450.46,
2021-09-18,56.51,61.24,55.51,58.66,3608703.91,
2021-09-19,58.63,58.89,56.1,57.24,2395652.75,
2021-09-20,57.23,57.39,45.09,47.58,6927869.79,
2021-09-21,47.57,50.11,42.0,44.74,5076880.9,
2021-09-22,44.74,51.71,44.03,49.89,4048262.89,
2021-09-23,49.89,52.16,48.81,50.57,3477487.88,
2021-09-24,50.56,51.46,42.05,46.06,5411516.44,
2021-09-25,46.06,47.1,44.0,45.75,2776646.51,
2021-09-26,45.75,45.95,39.47,43.67,4718280.34,
2021-09-27,43.66,46.71,42.21,42.4,3669212.23,
2021-09-28,42.4,43.8,40.66,40.86,3186774.63,
2021-09-29,40.86,45.79,40.54,44.4,4353334.81,
2021-09-30,44.42,45.6,43.38,45.09,3380361.07,
2021-10-01,45.09,52.71,44.8,51.64,4636242.6,
2021-10-02,51.64,52.62,48.49,49.58,3329893.01,
2021-10-03,49.58,51.49,48.05,50.35,3054356.57,
2021-10-04,50.33,50.39,46.76,48.99,3363197.38,
2021-10-05,48.98,57.25,48.32,54.51,9000039.42,
2021-10-06,54.51,57.08,50.28,52.78,5942803.03,
2021-10-07,52.77,54.55,50.72,51.02,4955022.06,
2021-10-08,51.03,52.3,48.39,49.28,5121189.06,
2021-10-09,49.29,51.94,48.5,49.6,3844355.43,
