date,open,high,low,close,volume,funding_rate
2022-08-17,2.025,2.199,1.862,1.915,24360907.9,0.00053137
2022-08-18,1.911,1.963,1.738,1.78,7657218.3,0.0003
2022-08-19,1.778,1.78,1.552,1.673,11067216.2,0.0003
2022-08-20,1.671,1.746,1.54,1.603,9727682.7,0.0003
2022-08-21,1.602,1.865,1.592,1.841,25580864.1,-0.00070427
2022-08-22,1.84,1.844,1.643,1.76,25247608.0,-0.00566175
2022-08-23,1.761,1.886,1.745,1.816,11592241.1,-0.00028032
2022-08-24,1.816,1.88,1.749,1.76,6345103.3,-0.00045372
2022-08-25,1.76,1.851,1.759,1.772,3846292.7,0.0003
2022-08-26,1.771,1.825,1.572,1.59,4077037.4,-0.00011566
2022-08-27,1.59,1.625,1.546,1.566,2357727.2,0.00022654
2022-08-28,1.566,1.62,1.482,1.5,2126390.9,0.0003
2022-08-29,1.5,1.614,1.474,1.613,3828163.6,0.00019914
2022-08-30,1.612,1.638,1.492,1.52,11663984.0,0.00014362
2022-08-31,1.52,1.598,1.52,1.555,2281185.1,0.00018337
2022-09-01,1.554,1.575,1.46,1.524,2167506.5,0.0003
2022-09-02,1.524,1.58,1.491,1.534,2782011.7,0.0003
2022-09-03,1.534,1.558,1.511,1.526,1280599.1,0.0003
2022-09-04,1.526,1.625,1.515,1.599,6328393.2,0.0003
2022-09-05,1.599,1.627,1.524,1.606,10769275.7,0.00024747
2022-09-06,1.604,1.652,1.44,1.452,9155171.8,0.00026966
2022-09-07,1.452,1.58,1.425,1.552,7062072.3,0.0003
2022-09-08,1.552,1.602,1.485,1.531,6667005.0,0.0003
2022-09-09,1.531,1.735,1.524,1.681,9100451.1,0.0003
2022-09-10,1.681,1.737,1.602,1.635,6758413.4,0.0003
2022-09-11,1.633,2.022,1.614,1.874,63546889.4,0.0003
2022-09-12,1.872,1.937,1.755,1.808,43994464.7,-0.00188881
2022-09-13,1.808,2.058,1.637,1.65,48895967.8,0.0003
2022-09-14,1.65,1.751,1.605,1.649,11378335.5,0.00015239
2022-09-15,1.648,1.664,1.543,1.627,10167693.5,0.00020981
2022-09-16,1.627,1.684,1.581,1.675,9356554.8,0.00012743
2022-09-17,1.675,1.715,1.639,1.694,5615704.7,0.0003
2022-09-18,1.694,1.694,1.413,1.448,8030579.1,9.433e-05
2022-09-19,1.446,1.627,1.417,1.572,17101206.1,-3.6120000000000007e-05
2022-09-20,1.57,1.632,1.504,1.527,25986125.4,-0.00453382
2022-09-21,1.526,1.595,1.439,1.461,13593151.9,0.00025917
2022-09-22,1.46,1.548,1.457,1.529,5105658.6,0.00023356
2022-09-23,1.528,1.656,1.461,1.575,7524628.0,0.0003
2022-09-24,1.576,1.683,1.536,1.644,30523802.8,-4.042e-05
2022-09-25,1.644,1.935,1.605,1.799,79313060.7,-0.00058199
2022-09-26,1.798,1.902,1.681,1.78,76930341.8,-0.00403032
2022-09-27,1.78,1.85,1.705,1.736,25921525.8,-0.00019425
2022-09-28,1.736,1.753,1.62,1.706,21360302.0,0.0002028
2022-09-29,1.705,1.72,1.633,1.684,10627822.2,0.00020648
2022-09-30,1.684,1.752,1.623,1.701,14384071.8,0.0003
2022-10-01,1.701,1.722,1.639,1.652,6373425.9,0.0003
2022-10-02,1.653,1.681,1.539,1.562,6108683.1,0.0003
2022-10-03,1.562,1.745,1.546,1.705,13423297.0,0.0003
2022-10-04,1.705,1.877,1.688,1.794,49656768.4,-0.00108173
2022-10-05,1.794,1.977,1.752,1.916,47457543.2,0.00015268
2022-10-06,1.917,1.925,1.822,1.833,26945758.6,-0.00061923
2022-10-07,1.833,2.025,1.823,1.988,43243831.8,0.0003
2022-10-08,1.987,2.031,1.95,1.989,51169957.7,-0.00473323
2022-10-09,1.988,2.009,1.881,1.914,27187722.3,0.0002984
2022-10-10,1.913,1.954,1.752,1.753,20938660.0,0.0003
2022-10-11,1.754,1.909,1.696,1.827,25508616.1,0.0003
2022-10-12,1.827,1.843,1.757,1.786,11013497.0,0.00029794
2022-10-13,1.786,1.788,1.563,1.743,25834988.8,-1.969999999999999e-05
2022-10-14,1.743,1.894,1.718,1.762,24065288.6,-0.0001572
2022-10-15,1.761,1.786,1.71,1.756,13457818.6,-0.00047629
2022-10-16,1.755,1.959,1.751,1.902,38004732.0,-0.00065883
2022-10-17,1.902,2.2,1.882,2.107,178588356.6,-0.00689954
