fecha,tipo
2020-01-14,ipc
2020-01-29,fomc
2020-02-13,ipc
2020-03-11,ipc
2020-03-15,fomc
2020-04-10,ipc
2020-04-29,fomc
2020-05-12,ipc
2020-06-10,fomc
2020-06-10,ipc
2020-07-14,ipc
2020-07-29,fomc
2020-08-12,ipc
2020-09-11,ipc
2020-09-16,fomc
2020-10-13,ipc
2020-11-05,fomc
2020-11-12,ipc
2020-12-10,ipc
2020-12-16,fomc
2021-01-13,ipc
2021-01-27,fomc
2021-02-10,ipc
2021-03-10,ipc
2021-03-17,fomc
2021-04-13,ipc
2021-04-28,fomc
2021-05-12,ipc
2021-06-10,ipc
2021-06-16,fomc
2021-07-13,ipc
2021-07-28,fomc
2021-08-11,ipc
2021-09-14,ipc
2021-09-22,fomc
2021-10-13,ipc
2021-11-03,fomc
2021-11-10,ipc
2021-12-10,ipc
2021-12-15,fomc
2022-01-12,ipc
2022-01-26,fomc
2022-02-10,ipc
2022-03-10,ipc
2022-03-16,fomc
2022-04-12,ipc
2022-05-04,fomc
2022-05-11,ipc
2022-06-10,ipc
2022-06-15,fomc
2022-07-13,ipc
2022-07-27,fomc
2022-08-10,ipc
2022-09-13,ipc
2022-09-21,fomc
2022-10-13,ipc
2022-11-02,fomc
2022-11-10,ipc
2022-12-13,ipc
2022-12-14,fomc
2023-01-12,ipc
2023-02-01,fomc
2023-02-14,ipc
2023-03-14,ipc
2023-03-22,fomc
2023-04-12,ipc
2023-05-03,fomc
2023-05-10,ipc
2023-06-13,ipc
2023-06-14,fomc
2023-07-12,ipc
2023-07-26,fomc
2023-08-10,ipc
2023-09-13,ipc
2023-09-20,fomc
2023-10-12,ipc
2023-11-01,fomc
2023-11-14,ipc
2023-12-12,ipc
2023-12-13,fomc
2024-01-11,ipc
2024-01-31,fomc
2024-02-13,ipc
2024-03-12,ipc
2024-03-20,fomc
2024-04-10,ipc
2024-05-01,fomc
2024-05-15,ipc
2024-06-12,fomc
2024-06-12,ipc
2024-07-11,ipc
2024-07-31,fomc
2024-08-14,ipc
2024-09-11,ipc
2024-09-18,fomc
2024-10-10,ipc
2024-11-07,fomc
2024-11-13,ipc
2024-12-11,ipc
2024-12-18,fomc
2025-01-15,ipc
2025-01-29,fomc
2025-02-12,ipc
2025-03-12,ipc
2025-03-19,fomc
2025-04-10,ipc
2025-05-07,fomc
2025-05-13,ipc
2025-06-11,ipc
2025-06-18,fomc
2025-07-15,ipc
2025-07-30,fomc
2025-08-12,ipc
2025-09-11,ipc
2025-09-17,fomc
2025-10-24,ipc
2025-10-29,fomc
2025-12-10,fomc
2025-12-18,ipc
2026-01-13,ipc
2026-01-28,fomc
2026-02-13,ipc
2026-03-11,ipc
2026-03-18,fomc
2026-04-10,ipc
2026-04-29,fomc
2026-05-12,ipc
2026-06-10,ipc
2026-06-17,fomc
2026-07-14,ipc
2026-07-29,fomc
2026-08-12,ipc
2026-09-11,ipc
2026-09-16,fomc
2026-10-14,ipc
2026-10-28,fomc
2026-11-10,ipc
2026-12-09,fomc
2026-12-10,ipc
2027-01-27,fomc
2027-03-17,fomc
2027-04-28,fomc
2027-06-09,fomc
2027-07-28,fomc
2027-09-15,fomc
2027-10-27,fomc
2027-12-08,fomc
